Trial-ID,Status,Iteration,batch_size,num_layers,num_units,Objective,loss
33,INTERMEDIATE,7,4096,6,256,342.4233202066264,345.90778634055863
32,INTERMEDIATE,9,4096,6,256,339.41978026225496,342.7988203333407
32,COMPLETED,9,4096,6,256,339.41978026225496,342.7988203333407
35,INTERMEDIATE,2,4096,6,256,357.8109843792927,363.8452102118283
34,INTERMEDIATE,8,4096,6,256,343.48829490355,344.2360422941298
33,INTERMEDIATE,8,4096,6,256,340.6322018237824,344.3500921539991
36,INTERMEDIATE,0,4096,6,256,384.8510330506814,447.9825566432684
35,INTERMEDIATE,3,4096,6,256,351.5870524467306,357.24971746457976
34,INTERMEDIATE,9,4096,6,256,340.76736803257717,342.8648260106251
34,COMPLETED,9,4096,6,256,340.76736803257717,342.8648260106251
